url,orden_bfs,prof_fisica,pagerank,authority
https://www.unlu.edu.ar/carp-cienciasaplicadas.html,122,1,0.00097997,0.00025202
https://www.unlu.edu.ar/carg-gestionuniv.html,104,1,0.00097443,0.00012349
https://www.unlu.edu.ar/reglamentos-posg.html,120,1,0.00096921,0.00012408
https://www.unlu.edu.ar/carp-esp-eduadultos.html,139,1,0.00096921,0.00012408
https://www.unlu.edu.ar/info-insc-mayores.html,157,1,0.00080998,0.00037993
https://www.unlu.edu.ar/v1-5-v2-0-v3-plantillas-programas.html,158,1,0.00076470,0.00013232
https://www.unlu.edu.ar/v1-5-v2-0-v3-prog-incentivos-151214.html,159,1,0.00076470,0.00013232
https://www.unlu.edu.ar/equivalencias.html,164,1,0.00068607,0.00012658
https://www.unlu.edu.ar/oferta-sede-posg.html,191,1,0.00068366,0.00012685
https://www.unlu.edu.ar/requis-posgra.html,193,1,0.00068366,0.00012685
https://www.unlu.edu.ar/carg-educacion-0403.html,206,1,0.00068201,0.00025246
http://www.unlu.edu.ar/~ope20156,222,1,0.00068155,0.00025246
https://www.unlu.edu.ar/carg-alimentos-0109.html,199,1,0.00068122,0.00025248
https://www.unlu.edu.ar/estabilidad.html,201,1,0.00067966,0.00025257
https://www.unlu.edu.ar/resistencia.html,202,1,0.00067966,0.00025257
https://www.unlu.edu.ar/carpre-indlacteas.html,165,1,0.00067813,0.00012621
https://www.unlu.edu.ar/carpre-inspalimentos.html,166,1,0.00067813,0.00012621
https://www.unlu.edu.ar/v1-5-v2-0-v3-proy-inst-est-au.html,160,1,0.00067534,0.00012627
https://www.unlu.edu.ar/v1-5-v2-0-v3-sintesis-pei.html,161,1,0.00067534,0.00012627
https://www.unlu.edu.ar/proy-inst-est-dr.html,162,1,0.00067534,0.00012627
https://www.unlu.edu.ar/proy-inst-est-fot.html,163,1,0.00067534,0.00012627
https://www.unlu.edu.ar/carg-agronomia.html,167,1,0.00067297,0.00012621
https://www.unlu.edu.ar/carg-alimentos.html,168,1,0.00067297,0.00012621
https://www.unlu.edu.ar/carg-industrial.html,169,1,0.00067297,0.00012621
https://www.unlu.edu.ar/carg-administracion.html,170,1,0.00067297,0.00012621
https://www.unlu.edu.ar/carg-contador.html,171,1,0.00067297,0.00012621
https://www.unlu.edu.ar/carg-biologia.html,172,1,0.00067297,0.00012621
https://www.unlu.edu.ar/carg-educacion.html,173,1,0.00067297,0.00012621
https://www.unlu.edu.ar/carg-comercio.html,174,1,0.00067297,0.00012621
https://www.unlu.edu.ar/carg-fisica.html,175,1,0.00067297,0.00012621
https://www.unlu.edu.ar/carg-eduini.html,176,1,0.00067297,0.00012621
https://www.unlu.edu.ar/carg-enfermeria.html,177,1,0.00067297,0.00012621
https://www.unlu.edu.ar/carg-geografia.html,178,1,0.00067297,0.00012621
https://www.unlu.edu.ar/carg-historia.html,180,1,0.00067297,0.00012621
https://www.unlu.edu.ar/carg-ambiental.html,181,1,0.00067297,0.00012621
https://www.unlu.edu.ar/carg-sistemas.html,182,1,0.00067297,0.00012621
https://www.unlu.edu.ar/carg-trabsocial.html,183,1,0.00067297,0.00012621
https://www.unlu.edu.ar/carg-prof-biologicas.html,184,1,0.00067297,0.00012621
https://www.unlu.edu.ar/carg-prof-educacion.html,185,1,0.00067297,0.00012621
https://www.unlu.edu.ar/carg-prof-educacion-fisica.html,186,1,0.00067297,0.00012621
https://www.unlu.edu.ar/carg-prof-adultos.html,187,1,0.00067297,0.00012621
https://www.unlu.edu.ar/carg-prof-fisica.html,188,1,0.00067297,0.00012621
https://www.unlu.edu.ar/carg-prof-geografia.html,189,1,0.00067297,0.00012621
https://www.unlu.edu.ar/carg-prof-historia.html,190,1,0.00067297,0.00012621
https://www.unlu.edu.ar/carp-espinfancia-7001.html,194,1,0.00067229,0.00012673
https://www.unlu.edu.ar/carg-gestionuniv-5101.html,179,1,0.00067215,0.00012621
"https://www.unlu.edu.ar/insc-posg.html?php echo(conver(0,1,0,'carp-esp-eduadultos'));?",219,1,0.00066677,0.00012803
https://www.unlu.edu.ar/ing-procesos.html,220,1,0.00066436,0.00012621
https://www.unlu.edu.ar/carpre-indlacteas-4101.html,195,1,0.00066428,0.00012621
https://www.unlu.edu.ar/carpre-inspalimentos-1901.html,196,1,0.00066428,0.00012621
https://www.unlu.edu.ar/carg-agronomia-0207.html,197,1,0.00066414,0.00012621
https://www.unlu.edu.ar/carg-administracion-0308.html,203,1,0.00066414,0.00012621
https://www.unlu.edu.ar/carg-contador-5401.html,204,1,0.00066414,0.00012621
