url,prof_logica,prof_fisica,tipo
https://www.ebay.com/globaldeals/featured/electronicos,2,3,estatica
https://www.ebay.com/globaldeals/featured/musica-y-estilo-de-vida,2,3,estatica
https://www.ebay.com/globaldeals/moda/ropa-para-hombre,2,3,estatica
https://www.ebay.com/globaldeals/tecnologia/videojuegos-y-consolas,2,3,estatica
https://www.ebay.com/globaldeals/tecnologia/celulares,2,3,estatica
https://www.ebay.com/globaldeals/tecnologia/laptops-y-netbooks,2,3,estatica
https://www.ebay.com/globaldeals/tecnologia/camaras-y-fotografia,2,3,estatica
https://www.ebay.com/globaldeals/tecnologia/tv-audio-y-video,2,3,estatica
https://www.ebay.com/globaldeals/tecnologia/ipads-tablets-y-lectores-de-ebooks,2,3,estatica
https://www.ebay.com/globaldeals/tecnologia/fundas-y-accesorios-para-celular,2,3,estatica
https://www.ebay.com/globaldeals/tecnologia/gps-y-electronicos-para-autos,2,3,estatica
https://www.ebay.com/globaldeals/tecnologia/unidades-de-disco-y-almacenamiento,2,3,estatica
https://www.ebay.com/globaldeals/tecnologia/impresoras-y-suministros,2,3,estatica
https://www.ebay.com/globaldeals/moda/joyeria-fina,2,3,estatica
https://www.ebay.com/globaldeals/moda/joyas-de-moda,2,3,estatica
https://www.ebay.com/globaldeals/moda/salud,2,3,estatica
https://www.ebay.com/globaldeals/moda/calzado-y-accesorios-para-hombre,2,3,estatica
https://www.ebay.com/globaldeals/moda/calzado-y-accesorios-para-mujer,2,3,estatica
https://www.ebay.com/globaldeals/moda/bolsos-y-accesorios,2,3,estatica
https://www.ebay.com/globaldeals/moda/ropa-para-mujer,2,3,estatica
https://www.ebay.com/globaldeals/moda/ninos,2,3,estatica
https://www.ebay.com/globaldeals/hogar-y-jardin/ropa-de-cama,2,3,estatica
https://www.ebay.com/globaldeals/hogar-y-jardin/electrodomesticos,2,3,estatica
https://www.ebay.com/globaldeals/hogar-y-jardin/patio-y-jardin,2,3,estatica
https://www.ebay.com/globaldeals/hogar-y-jardin/ciclismo,2,3,estatica
https://www.ebay.com/globaldeals/hogar-y-jardin/mejoras-del-hogar,2,3,estatica
https://www.ebay.com/globaldeals/hogar-y-jardin/cocina-y-bar,2,3,estatica
https://www.ebay.com/globaldeals/hogar-y-jardin/deportes-al-aire-libre,2,3,estatica
https://www.ebay.com/globaldeals/hogar-y-jardin/juguetes,2,3,estatica
https://www.ebay.com/globaldeals/hogar-y-jardin/herramientas,2,3,estatica
https://www.ebay.com/globaldeals/ver-todo,2,2,estatica
