query,metodo,patron,total_postings,tiempo_seg
porche suv,sin_skip,t1 AND t2,8,0.000005307
porche suv,con_skip,t1 AND t2,8,0.000005655
american airlines,sin_skip,t1 AND t2,860,0.000180005
american airlines,con_skip,t1 AND t2,860,0.000153333
pamela anderson,sin_skip,t1 AND t2,77,0.000019480
pamela anderson,con_skip,t1 AND t2,77,0.000023461
audio adrenaline,sin_skip,t1 AND t2,105,0.000005237
audio adrenaline,con_skip,t1 AND t2,105,0.000005795
callaway golf,sin_skip,t1 AND t2,62,0.000013895
callaway golf,con_skip,t1 AND t2,62,0.000013337
currency exchange,sin_skip,t1 AND t2,98,0.000037705
currency exchange,con_skip,t1 AND t2,98,0.000033795
towson university,sin_skip,t1 AND t2,582,0.000056208
towson university,con_skip,t1 AND t2,582,0.000020458
engagement settings,sin_skip,t1 AND t2,59,0.000018503
engagement settings,con_skip,t1 AND t2,59,0.000029047
mary moran,sin_skip,t1 AND t2,83,0.000020947
mary moran,con_skip,t1 AND t2,83,0.000021017
katie holmes,sin_skip,t1 AND t2,18,0.000007541
katie holmes,con_skip,t1 AND t2,18,0.000010892
urban mammoth,sin_skip,t1 AND t2,111,0.000021924
urban mammoth,con_skip,t1 AND t2,111,0.000017735
rani mukherjee,sin_skip,t1 AND t2,4,0.000005795
rani mukherjee,con_skip,t1 AND t2,4,0.000006703
bronze age,sin_skip,t1 AND t2,729,0.000147398
bronze age,con_skip,t1 AND t2,729,0.000213102
skateboarding clips,sin_skip,t1 AND t2,22,0.000011870
skateboarding clips,con_skip,t1 AND t2,22,0.000012847
honda generators,sin_skip,t1 AND t2,22,0.000009496
honda generators,con_skip,t1 AND t2,22,0.000013406
medical supplies,sin_skip,t1 AND t2,188,0.000045316
medical supplies,con_skip,t1 AND t2,188,0.000066682
rebound movie,sin_skip,t1 AND t2,218,0.000031421
rebound movie,con_skip,t1 AND t2,218,0.000014454
mortgage america,sin_skip,t1 AND t2,256,0.000036658
mortgage america,con_skip,t1 AND t2,256,0.000026184
baby boomers,sin_skip,t1 AND t2,60,0.000012428
baby boomers,con_skip,t1 AND t2,60,0.000012847
heather mazur,sin_skip,t1 AND t2,5,0.000005167
heather mazur,con_skip,t1 AND t2,5,0.000006773
rattan chairs,sin_skip,t1 AND t2,10,0.000005167
rattan chairs,con_skip,t1 AND t2,10,0.000005655
chris jericho,sin_skip,t1 AND t2,128,0.000021435
chris jericho,con_skip,t1 AND t2,128,0.000014314
baby heartbeat,sin_skip,t1 AND t2,60,0.000009706
baby heartbeat,con_skip,t1 AND t2,60,0.000009357
presidio league,sin_skip,t1 AND t2,260,0.000042802
presidio league,con_skip,t1 AND t2,260,0.000018712
nick cartoon,sin_skip,t1 AND t2,82,0.000021576
nick cartoon,con_skip,t1 AND t2,82,0.000035191
cheap tickets,sin_skip,t1 AND t2,53,0.000015641
cheap tickets,con_skip,t1 AND t2,53,0.000025206
metallica lyrics,sin_skip,t1 AND t2,82,0.000017595
metallica lyrics,con_skip,t1 AND t2,82,0.000014663
dancing songs,sin_skip,t1 AND t2,308,0.000072058
dancing songs,con_skip,t1 AND t2,308,0.000090631
harbour island,sin_skip,t1 AND t2,187,0.000028139
harbour island,con_skip,t1 AND t2,187,0.000039520
atlantic ga,sin_skip,t1 AND t2,112,0.000022553
atlantic ga,con_skip,t1 AND t2,112,0.000074222
design tek,sin_skip,t1 AND t2,241,0.000033306
design tek,con_skip,t1 AND t2,241,0.000014873
prostate test,sin_skip,t1 AND t2,127,0.000021226
prostate test,con_skip,t1 AND t2,127,0.000022204
mayo clinic,sin_skip,t1 AND t2,21,0.000007192
mayo clinic,con_skip,t1 AND t2,21,0.000010613
bake beans,sin_skip,t1 AND t2,8,0.000005167
bake beans,con_skip,t1 AND t2,8,0.000006144
spirit airlines,sin_skip,t1 AND t2,124,0.000025346
spirit airlines,con_skip,t1 AND t2,124,0.000036728
