query,patron,total_postings,tiempo_seg,tiempo_seg_str
ovarian cysts,t1 AND t2,5,"0,000168732",0.000168732
indian man,t1 AND t2,568,"0,000288575",0.000288575
time management,t1 AND t2,1627,"0,000726746",0.000726746
braided wigs,t1 AND t2,5,"0,000635885",0.000635885
papi ion,t1 AND t2,41,"0,000750840",0.000750840
bipolar test,t1 AND t2,124,"0,000215594",0.000215594
south park,t1 AND t2,603,"0,000340326",0.000340326
temple bailey,t1 AND t2,101,"0,000812788",0.000812788
air jamaica,t1 AND t2,269,"0,000259103",0.000259103
silver star,t1 AND t2,332,"0,000343609",0.000343609
foto vip,t1 AND t2,6,"0,000222368",0.000222368
american airlines,t1 AND t2,860,"0,000354014",0.000354014
ankle tattoos,t1 AND t2,19,"0,000220272",0.000220272
radio shack,t1 AND t2,285,"0,000221600",0.000221600
text size,t1 AND t2,12086,"0,003822085",0.003822085
green tea,t1 AND t2,206,"0,000298702",0.000298702
grease gun,t1 AND t2,98,"0,000193245",0.000193245
bible scriptures,t1 AND t2,59,"0,000208121",0.000208121
office max,t1 AND t2,386,"0,000338161",0.000338161
nashville star,t1 AND t2,191,"0,000288156",0.000288156
50 cent,t1 AND t2,1448,"0,000640983",0.000640983
greyhound bus,t1 AND t2,90,"0,000241783",0.000241783
harry davids,t1 AND t2,47,"0,000178369",0.000178369
trinidad express,t1 AND t2,80,"0,000202674",0.000202674
brooke valentine,t1 AND t2,14,"0,000191080",0.000191080
bobby valentino,t1 AND t2,21,"0,000196528",0.000196528
midwest express,t1 AND t2,70,"0,000203162",0.000203162
game farm,t1 AND t2,443,"0,000299540",0.000299540
scratched eardrum,t1 AND t2,4,"0,000789601",0.000789601
aim icons,t1 AND t2,58,"0,000291299",0.000291299
personal finance,t1 AND t2,469,"0,000329711",0.000329711
ty pennington,t1 AND t2,11,"0,000177392",0.000177392
soap spoilers,t1 AND t2,35,"0,000237034",0.000237034
music quizzes,t1 AND t2,778,"0,000398363",0.000398363
newport news,t1 AND t2,372,"0,000305825",0.000305825
alliance capital,t1 AND t2,324,"0,000292486",0.000292486
address search,t1 AND t2,6161,"0,001926512",0.001926512
extreme video,t1 AND t2,351,"0,000338999",0.000338999
